,Match Id,Home Team,Away Team,Home Goal HT,Away Goal HT,Home Goal FT,Away Goal FT,Label,Pos_home,P_home,GD_home,Form Score_home,Pos_away,P_away,GD_away,Form Score_away,H2H Home Points,H2H Away Points
139,416228,Nottingham,Crystal Palace,0,0,1,0,1,16,38,-30,19.6514,11,45,-9,16.5066,6,3
140,416231,Liverpool,Southampton,3,1,3,1,1,5,67,28,20.8266,20,25,-37,4.2998,4,1
141,416234,Bournemouth,Everton,2,0,3,0,1,15,39,-34,3.0,17,36,-23,21.2054,12,3
142,416229,Newcastle,Chelsea,0,0,1,0,1,4,71,35,14.9466,12,44,-9,8.7398,10,1
143,416225,Wolverhampton,Arsenal,0,0,0,2,-1,13,41,-27,7.306,2,84,45,20.2195,9,6
144,416233,Brighton Hove,Aston Villa,1,1,1,2,-1,6,62,19,12.2068,7,61,5,22.1062,9,3
145,416232,Fulham,Man United,0,1,1,2,-1,10,52,2,13.5268,3,75,15,32.3982,6,9
146,416222,Brentford,Tottenham,1,0,2,2,0,9,59,12,31.0782,8,60,7,17.2195,8,5
147,416215,Southampton,Brighton Hove,0,2,1,3,-1,20,25,-37,4.2998,6,62,19,12.2068,3,3
148,416217,Leicester City,Newcastle,0,3,0,3,-1,18,34,-17,16.8854,4,71,35,14.9466,1,4
149,416219,Everton,Wolverhampton,1,1,1,2,-1,17,36,-23,21.2054,13,41,-27,7.306,4,7
150,416220,Crystal Palace,Fulham,0,1,0,3,-1,11,45,-9,16.5066,10,52,2,13.5268,3,6
151,416223,Aston Villa,Liverpool,0,2,1,3,-1,7,61,5,22.1062,5,67,28,20.8266,5,5
152,416224,Arsenal,West Ham,0,1,3,1,1,2,84,45,20.2195,14,40,-13,13.278,4,7
153,416221,Chelsea,Bournemouth,2,0,2,0,1,12,44,-9,8.7398,15,39,-34,3.0,7,7
154,416216,Man United,Nottingham,2,0,3,0,1,3,75,15,32.3982,16,38,-30,19.6514,9,3
155,416218,Leeds United,Man City,0,1,1,3,-1,19,31,-30,2.0736,1,89,61,16.5268,3,3
156,416206,West Ham,Brentford,0,2,0,2,-1,14,40,-13,13.278,9,59,12,31.0782,10,4
157,416211,Liverpool,Leicester City,2,1,2,1,1,5,67,28,20.8266,18,34,-17,16.8854,3,3
158,416205,Wolverhampton,Man United,0,0,0,1,-1,13,41,-27,7.306,3,75,15,32.3982,6,6
159,416209,Newcastle,Leeds United,0,0,0,0,0,4,71,35,14.9466,19,31,-30,2.0736,2,2
160,416210,Man City,Everton,1,0,1,1,0,1,89,61,16.5268,17,36,-23,21.2054,4,7
161,416212,Fulham,Southampton,1,0,2,1,1,10,52,2,13.5268,20,25,-37,4.2998,3,3
162,416214,Bournemouth,Crystal Palace,0,2,0,2,-1,15,39,-34,3.0,11,45,-9,16.5066,6,6
163,416213,Brighton Hove,Arsenal,0,2,2,4,-1,6,62,19,12.2068,2,84,45,20.2195,4,10
164,416207,Tottenham,Aston Villa,0,0,0,2,-1,8,60,7,17.2195,7,61,5,22.1062,3,9
165,416208,Nottingham,Chelsea,0,1,1,1,0,16,38,-30,19.6514,12,44,-9,8.7398,3,9
166,416202,Brentford,Liverpool,2,0,3,1,1,9,59,12,31.0782,5,67,28,20.8266,12,3
167,416197,Leicester City,Fulham,0,1,0,1,-1,18,34,-17,16.8854,10,52,2,13.5268,6,3
168,416199,Everton,Brighton Hove,0,1,1,4,-1,17,36,-23,21.2054,6,62,19,12.2068,2,11
169,416204,Arsenal,Newcastle,0,0,0,0,0,2,84,45,20.2195,4,71,35,14.9466,7,4
170,416196,Man United,Bournemouth,1,0,3,0,1,3,75,15,32.3982,15,39,-34,3.0,4,7
